Tid,Inflow mobility
52,3.1295062927153974
53,3.5917713534273603
54,4.621232147777049
55,5.4948307875536
57,5.5774087228275935
58,7.152830067709265
59,7.51379198730975
60,7.605606049049608
61,7.958889096694978
65,9.06273059211879
66,8.25736324224884
67,8.982565004987737
68,9.984402211657123
69,7.951005243669086
75,8.277369375221715
76,7.984889042227056
77,6.468059033049707
78,4.108669804708915
79,5.331761096119828
85,2.655723718401073
89,2.465444641413693
90,2.660059660043945
161,2.920843463297798
162,3.148832670858323
163,2.5504711041757835
164,3.0009636137500246
165,3.6885059260484727
166,4.102971901271346
167,4.557608548928779
168,5.135261353359896
169,5.421416707913072
170,5.528293561487852
171,6.070300381721111
172,7.713371578436488
173,9.712613254749195
174,8.886434005861659
175,6.110354541272998
176,5.565323202453134
177,4.79246550371733
178,6.523793940121328
179,5.97913394052634
180,2.04084847660962
181,1.496939564958568
182,1.5526414089782936
183,2.5128332159118423
184,5.969611165310455
185,8.038336299435196
186,7.713309301820137
187,4.786419923608264
188,4.680157486227943
189,4.430928302539383
190,3.9748680630541458
191,3.897997759920276
192,3.7653752332588506
193,3.55221103415273
194,2.368095673550324
195,1.762877613164949
196,1.8444254614438016
197,1.336029069834062
198,1.4235155112710354
199,1.7422076016662118
200,1.94305215827544
201,1.6176890580133438
271,5.121725420586034
272,3.153613948560519
273,1.6092848053639623
274,0.0
275,0.6873906293729797
276,0.0
277,0.1741371581783185
278,0.9150596512569472
279,2.8221043550053264
280,2.957032581287597
281,3.637348197027492
282,5.667042236663731
283,8.010329390088112
284,7.543206438511981
285,1.213705416469101
286,1.516464164913956
287,0.0
288,2.4011843304464
289,4.994888426750217
290,4.793775781495978
291,2.389771286291968
292,0.0
293,2.714249959588228
294,6.11196031172219
295,8.693701113364973
296,8.270241271951553
297,3.916475512814456
298,1.8923499137194504
299,2.472218953892587
300,0.4810896286527941
301,1.2923128306193217
302,2.542885411164486
303,2.1230122875816377
304,1.006288893893043
305,0.0
306,0.7142598542845393
307,0.6561431307290196
308,0.4217420950523039
309,0.0
310,0.0
311,0.9435168927999056
312,0.6650918002579999
380,4.902599914929856
381,4.762467009442665
382,2.7807465726431504
383,1.1149099053887457
384,0.0
385,0.0
386,0.0
387,1.2924586573517598
388,0.1194584818292492
389,0.5369030101559322
390,0.3826045849059525
391,2.4469328080027104
392,4.454394599213113
393,6.717139270234823
394,6.239078066564807
395,0.329263085853398
396,0.519959879377332
397,0.8623785144167405
398,1.861559615543472
399,4.947001962404504
400,5.605248851108069
401,5.246262286376831
402,2.478257174431646
403,4.538671393870631
404,7.081827653172981
405,10.036223591534815
406,9.58866655100168
407,6.062611307513095
408,3.4516192329988744
409,2.717076434967566
410,2.306124714750968
411,1.854555509738614
412,0.6010344651818965
413,0.545783170412382
414,0.3509064063481714
415,0.0
416,0.6379724446880303
417,0.8998961290727368
418,0.8579294943412801
419,0.5367764949266249
420,0.0
421,0.0
422,0.0
423,0.3420393969398208
424,0.7007463988062798
490,3.616237826756768
491,3.404202945602872
492,2.03431228349464
493,0.0
494,0.0
495,0.0
496,0.7552377445244143
497,1.4485874066939766
498,1.7238649474799157
499,0.0
500,1.3035714347042229
501,2.066118920103423
502,3.6732612931553743
503,5.365122188996226
504,4.866575609309821
505,0.2110689214575427
506,0.0
507,0.0
508,1.3546342646646463
509,2.7251974508825745
510,6.134048097400243
511,5.799206974832896
512,6.229183006532499
513,3.787821629272296
514,4.442463694682636
515,9.72926514860522
516,9.367347947845966
517,6.097822473802523
518,3.190163022736473
519,2.096033407105184
520,1.8281714280377768
521,1.4650679050261095
522,0.9639714881971658
523,0.0
524,0.0
525,0.0
526,0.8187650611694566
527,1.1497340625448342
528,0.9105227211592468
529,0.0
530,0.0
531,0.0
532,0.4383611786851951
533,0.6480840785073803
534,0.0
535,0.9011968767583666
536,0.5652015526539296
599,1.7793981911850518
600,1.1681422080155457
