Tid,Inflow mobility
51,1.1799464385754528
52,3.6708109190464633
53,6.553028136549135
54,8.69975900468471
55,10.87349149536484
56,14.415369164164805
57,18.1529769139449
58,19.831679529695244
59,21.688885391378
208,1.199251133643808
209,2.4235390472110434
210,3.5185589183769377
211,6.3338580506099005
212,8.875781623409045
213,13.034415160861936
214,17.748722759083716
215,22.057957195770765
216,30.56462765035136
217,42.43138482084641
218,48.79492751164786
365,0.1712075713575863
366,1.1596771844195142
367,2.074143295161426
368,1.060840803226028
369,6.077932291944841
370,11.031041398843252
371,18.29598812413216
372,29.79699266565252
373,49.56858777171367
374,65.45362492505795
375,65.00264791112251
376,54.42996596312694
522,0.0
523,0.0
524,0.0
525,2.0536449276341213
526,3.9799262347016366
527,8.567467552141386
528,17.176388037750286
529,33.624721934756764
530,56.85258995430782
531,67.97510819510204
532,61.42691668638549
533,50.23835613168136
534,38.67465225956023
679,0.386612147345543
680,0.96673031489083
681,1.2964832404012374
682,1.736881005073814
683,1.5194351670275512
684,5.165050291774411
685,10.243986861662377
686,20.783316615970843
687,34.33584506630139
688,39.41718917504917
689,36.493898029461725
690,33.65148334073219
691,31.404099718278
692,25.60212353272657
835,0.4613996858848965
836,0.707271223735173
837,0.9429724882945592
838,1.135260377939473
839,1.3219486300363312
840,1.714465449806873
841,2.444794404871369
842,3.977752856446358
843,7.456716927539745
844,11.91854111520387
845,14.273583069139653
846,15.503148245322471
847,18.017455883253447
848,19.752249871977742
849,21.96990871694745
850,19.628166481395827
991,0.0
992,0.0
993,0.4410280041220404
994,0.5247773696265391
995,0.0
996,0.7072776326565278
997,0.928374095514326
998,1.2151081413751632
999,0.0
1000,3.0797751617580915
1001,2.3204129110491545
1002,2.233567075682505
1003,2.7411343041440484
1004,5.717937648766758
1005,7.944302190695532
1006,16.75178902080113
1007,17.127442067062887
1008,15.254484262806146
1146,0.0
1147,0.6641285509628349
1148,0.6225577931440317
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.4795301519407261
1155,0.0
1156,1.4565131051161664
1157,2.309662167826066
1158,0.672780211858444
1159,0.4798048957646335
1160,2.040762422482888
1161,6.894293533578405
1162,8.373011671634352
1163,11.390856934343564
1164,13.925418909255638
1165,14.154263078880383
1166,13.05775919743269
1167,9.531927743176237
1302,0.0
1303,0.0
1304,1.4429468246615482
1305,1.20358764532889
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,1.0335940305608395
1314,1.6785181704170422
1315,0.0
1316,4.654231344468055
1317,7.331017970013386
1318,7.203833658777644
1319,6.717971806683122
1320,7.7609405306881
1321,8.634088989847571
1322,10.281296175944794
1323,11.711822269141091
1324,9.871491301884507
