Tid,Inflow mobility
84,0.0
85,0.0
86,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
368,0.0
496,0.0799778350461707
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
630,6.603317163398172
631,3.575152748825581
632,1.0367563215900983
633,0.5160684610989301
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
765,10.826829051166364
766,12.132846789460904
767,12.99398023778708
768,8.676686909782164
769,3.754650025493294
770,1.435123336393782
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
902,8.669576370371479
903,16.954662179018595
904,20.56877564636958
905,18.24780245990509
906,10.291374848245386
907,3.872271127508528
908,1.6478715813717508
909,0.7570154634137278
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
1040,11.637741974841902
1041,18.47724278199332
1042,22.13408954545199
1043,19.374042745392945
1044,12.223801354935834
1045,5.083576588872446
1046,2.942708840138197
1047,1.2396154884002448
1048,0.4743020957142196
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1177,3.803570758577039
1178,10.20504212014574
1179,15.675224181412265
1180,17.99971582346234
1181,15.345568793058638
1182,10.111702098298338
1183,6.370636966163677
1184,5.12908200074366
1185,3.872153210222035
1186,2.0666980627992784
1187,0.497434117253725
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1315,3.280418004986272
1316,5.477549216065103
1317,10.89278462184394
1318,11.962709598272603
1319,6.7226725105791125
1320,4.713442098958256
1321,4.921868398526998
1322,7.670038533243945
1323,7.514275804845515
1324,3.998228491753373
1325,0.8364224914530735
1326,0.0
1327,0.0799958792209096
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1452,3.71894813790099
1453,3.968669522099549
1454,3.074962052968246
1455,6.5280548140596935
1456,6.848768903188449
1457,5.545556048397175
1458,2.4114566042186336
1459,4.559561037994117
1460,11.3330542985409
1461,11.501740648263006
1462,4.696707173286336
1463,1.0937255230764966
1464,0.0
1465,0.2067362647572352
1466,0.109413844396078
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1589,5.436415051065974
1590,8.84725729886177
1591,7.428437056068175
1592,4.850256254949609
1593,4.015400237616173
1594,3.748283218244208
1595,3.117440424239465
1596,1.7530397481561326
1597,6.98921332928246
1598,13.60691100940508
1599,13.748954947434818
1600,5.885723306293553
1601,1.9750616475067035
1602,0.2017168218044281
1603,0.2195098988834546
1604,0.1351922683879982
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1727,12.82675551534224
1728,14.19913989035289
1729,9.89139353456188
1730,2.4118087290316583
1731,3.1070396251117978
1732,2.9106172800720307
1733,1.0759165460304918
1734,3.548854066279243
1735,6.806500519955154
1736,12.83164461363052
1737,12.378686073622246
1738,4.787142540594223
1739,1.2369249346294011
1740,0.5482113821147877
1741,0.2139020173658456
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1865,13.989450536288002
1866,14.918421964375568
1867,10.657963400329358
1868,7.348418702988953
1869,6.131288413386038
1870,4.770917757088625
1871,0.0
1872,3.769204967480292
1873,6.9701158352067605
1874,9.637561197194175
1875,5.383616438608778
1876,2.309997102942228
1877,1.2839162913134932
1878,0.2079854750371587
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
2002,5.341671409560768
2003,10.633292305613011
2004,11.127525392093355
2005,8.932396456381753
2006,8.106522213740389
2007,8.465013333383649
2008,7.373347551222205
2009,3.5113968126618347
2010,3.46206367363746
2011,4.803512309930364
2012,4.025642517207823
2013,2.8459084813736144
2014,0.4748683107682555
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2138,1.7050172657509053
2139,0.575198312191264
2140,4.73920347339949
2141,6.993033195089482
2142,2.106513298336476
2143,6.926397336187823
2144,7.142465079225147
2145,7.739713515328484
2146,6.810034438037503
2147,4.059084330625264
2148,2.396318178210446
2149,1.2293409660499777
2150,1.208526899685086
2151,0.9736002495369038
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2275,7.691714423911861
2276,8.617912533635026
2277,0.8257375804720035
2278,0.8307118449847312
2279,6.713862510712288
2280,8.955955083116907
2281,9.066428361129685
2282,6.944773349453143
2283,5.188745577016944
2284,3.0966134711392748
2285,0.8743348887078329
2286,0.1659388709875156
2287,0.5267035508970834
2288,0.6208354858628421
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2412,37.5144420649489
