Tid,Inflow mobility
35,0.0
36,0.924408495560404
44,0.0
45,0.0
46,0.7826939072226605
47,0.0
334,0.0
335,1.2966861707316144
336,1.130038384754476
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,1.973478086789239
345,1.247106486783936
346,0.0
347,0.0
633,0.0
634,1.6001526852916186
635,3.072598031800786
636,4.121133840099233
637,4.276458991863926
638,3.766265112345676
639,0.0
640,3.110618206040477
641,0.4830163879091183
642,4.258278825693034
643,3.263310789007301
644,0.0
645,0.8555201051260741
646,0.0
647,0.0
680,0.0
681,0.0
701,1.0974320971604554
702,1.6841485372220848
703,0.9427753713718878
932,0.0
933,0.5980960293719516
934,2.9688434146588274
935,4.402182918348694
936,5.160928861114726
937,5.230458838359457
938,4.804521279902436
939,4.862214459135613
940,5.73349433817525
941,5.478995027083086
942,3.873520017031731
943,2.4299077348056124
944,1.4934358635737508
945,0.8485827611301495
946,0.0
947,0.0
948,0.0
977,0.0
978,0.0
979,1.076047478687682
980,1.1633287714269511
981,0.0
982,0.0
983,0.0
999,0.0
1000,2.6993258305916563
1001,5.406641255845715
1002,3.444069272112292
1003,0.4020268411770144
1229,0.0
1230,0.0
1231,0.0
1232,1.4306597609765106
1233,0.2230913083844664
1234,2.554287086581404
1235,3.2354760623723853
1236,3.588227429335081
1237,3.5574557327884984
1238,3.6852362614660414
1239,2.8087045750383144
1240,4.374396667657687
1241,4.12094613578157
1242,3.760464209248764
1243,2.7420595519440663
1244,1.689450292997013
1245,0.0
1246,1.0139809797751946
1247,0.0
1248,0.0
1276,0.0
1277,1.4063206830784547
1278,2.568240380156241
1279,2.935677922295138
1280,2.477829952777783
1281,1.889094959878455
1282,1.546016893284352
1283,0.5131319924918797
1284,0.2228496101971552
1285,0.0
1286,0.3534568977193087
1287,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.2366767167072983
1298,1.2226943309929674
1299,7.063789291215091
1300,7.42184327744291
1301,5.280320880337528
1302,2.6167307241168856
1303,1.124187047456919
1304,0.1642536209361139
1528,0.0
1529,2.4319527944306243
1530,2.654187802920694
1531,1.790690024869868
1532,0.0
1533,0.0
1534,1.216695906401834
1535,1.4608097234818975
1536,1.586773408645594
1537,1.841671976402452
1538,2.425864920785805
1539,3.4813636436214743
1540,5.235392791658952
1541,6.30501672527275
1542,4.885868616734511
1543,3.036145435253112
1544,2.3358448631648265
1545,1.9624112073168425
1546,1.163976046675076
1547,0.0
1575,0.0
1576,2.0441506298654004
1577,3.9459657633383816
1578,4.921593281144488
1579,4.485134439347628
1580,2.273360642516592
1581,2.700633810048369
1582,2.3101027710222173
1583,2.0148471536400154
1584,0.2427453170766029
1585,3.2032677236853124
1586,3.661566789519252
1587,1.266783260888733
1588,0.853113342248095
1589,0.0
1590,0.0
1591,0.0
1592,0.927486499135517
1593,1.1765590637287393
1594,1.447218655768571
1595,1.963604061106717
1596,3.789878380577264
1597,6.825188040751088
1598,8.499744927787708
1599,7.676510369953386
1600,5.260883974963693
1601,2.6474246092900104
1602,0.0
1603,0.0
1826,0.0
1827,1.9338598199465409
1828,3.851403499671407
1829,3.83051307728401
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,1.0085753043952774
1837,1.672632303797404
1838,3.104822603752012
1839,5.805907593401153
1840,7.787348254580071
1841,6.201254987021188
1842,4.002872649754345
1843,3.343710053127565
1844,2.882888410734916
1845,1.708906536462245
1846,0.0
1874,0.0
1875,1.837691538526516
1876,3.8926688209812217
1877,5.64522294834909
1878,5.946488560977292
1879,4.619066825627299
1880,2.411626509480499
1881,2.9500823805948726
1882,2.203757631795697
1883,1.2705771846886955
1884,6.401187006716597
1885,7.959298891048093
