FID,Tid,Hazard,Con_pop,CBRA,County
262,-2,0.0,320.096320152,702.0,0
263,-2,0.0,403.226843834,10781.0,0
264,-2,0.0,156.975756168,2763.0,0
265,-2,0.0,0.0,0.0,0
266,-2,0.0,66.0878801346,0.0,0
267,-2,0.0,78.7270402908,0.0,0
268,-2,0.0,258.449910164,2920.0,0
269,-2,0.0,479.650682926,11175.0,0
270,-2,0.0,307.762500286,5340.0,0
271,-2,0.0,0.0,0.0,0
272,-2,0.0,60.8306615353,0.0,0
273,-2,0.0,81.953712225,2886.0,0
274,-2,0.0,0.0,0.0,0
275,-2,0.0,0.0,1214.0,0
276,-2,0.0,0.0,0.0,0
277,-2,0.0,0.0,0.0,0
278,-2,0.0,0.0,0.0,0
279,-2,0.0,231.299617767,107.0,0
280,-2,0.0,236.65953207,2296.0,0
281,-2,0.0,0.0,103.0,0
282,-2,0.0,0.0,0.0,0
283,-2,0.0,0.0,0.0,0
284,-2,0.0,0.0,0.0,0
285,-2,0.0,91.285759449,31.0,0
286,-2,0.0,81.9846253395,0.0,0
287,-2,0.0,67.6583881378,0.0,0
288,-2,0.0,383.022840977,3132.0,0
289,-2,0.0,502.56483984,29249.0,0
290,-2,0.0,313.333128929,1454.0,0
291,-2,0.0,83.9949641228,2047.0,0
292,-2,0.0,12.0805153847,0.0,0
293,-2,0.0,402.124221325,11735.0,0
294,-2,0.0,12.0636029243,0.0,0
295,-2,0.0,79.2177519798,2127.0,0
296,-2,0.0,269.498758793,7605.999999999999,0
297,-2,0.0,167.009423256,1712.0,0
298,-2,0.0,335.083905697,545.0,0
299,-2,0.0,559.65161705,23451.0,0
300,-2,0.0,887.635957718,32946.00000000001,0
301,-2,0.0,1188.83716393,12615.0,0
302,-2,0.0,1408.67547989,61617.0,0
303,-2,0.0,670.119482994,9442.0,0
304,-2,0.0,366.869121075,15722.0,0
305,-2,0.0,69.8184099197,1228.0,0
306,-2,0.0,289.140993118,7507.0,0
307,-2,0.0,147.816037655,2860.000000000001,0
308,-2,0.0,233.399436474,802.9999999999999,0
309,-2,0.0,363.558835506,26395.0,0
310,-2,0.0,16.03764534,3884.000000000001,0
311,-2,0.0,31.5726146698,0.0,0
312,-2,0.0,384.86841011,18174.0,0
313,-2,0.0,121.872844696,8605.999999999998,0
314,-2,0.0,112.919704437,266.9999999999999,0
315,-2,0.0,177.796696663,6374.999999999999,0
316,-2,0.0,32.4109268188,0.0,0
317,-2,0.0,47.5660767555,264.0,0
318,-2,0.0,257.621809006,7570.000000000001,0
319,-2,0.0,100.15739727,201.0,0
320,-2,0.0,46.7744393349,1479.0,0
321,-2,0.0,0.0,185.0,0
322,-2,0.0,0.0,0.0,0
323,-2,0.0,0.0,353.0,0
324,-2,0.0,130.82367897,315.0,0
325,-2,0.0,348.974261284,13133.00000000001,0
326,-2,0.0,338.149675369,1470.0,0
327,-2,0.0,501.313069344,63.0,0
328,-2,0.0,1070.69400167,15554.0,0
329,-2,0.0,1467.69069481,50322.0,0
330,-2,0.0,1726.49627495,41477.0,0
331,-2,0.0,1278.70364189,22986.0,0
332,-2,0.0,975.343538284,13428.0,0
333,-2,0.0,924.973931789,8955.0,0
334,-2,0.0,498.644329071,0.0,0
335,-2,0.0,57.5350632668,0.0,0
336,-2,0.0,0.0,273.0,0
337,-2,0.0,0.0,3832.0,0
338,-2,0.0,0.0,382.0,0
339,-2,0.0,0.0,0.0,0
340,-2,0.0,5.84319877625,2.0,0
341,-2,0.0,233.858407974,7357.0,0
342,-2,0.0,47.5181698799,1082.0,0
343,-2,0.0,266.995363235,0.0,0
344,-2,0.0,87.1094975471,988.0,0
345,-2,0.0,108.23293829,5043.0,0
346,-2,0.0,142.707575321,834.0,0
347,-2,0.0,0.0,564.0,0
348,-2,0.0,31.9618678093,3444.0,0
349,-2,0.0,45.6867642403,1017.0,0
350,-2,0.0,88.4664115906,269.0,0
351,-2,0.0,46.5041866302,1709.0,0
352,-2,0.0,0.0,0.0,0
353,-2,0.0,0.0,105.0,0
354,-2,0.0,0.0,0.0,0
355,-2,0.0,3.9384868145,0.0,0
356,-2,0.0,31.0619096756,256.0,0
357,-2,0.0,0.0,0.0,0
358,-2,0.0,0.0,0.0,0
359,-2,0.0,0.0,0.0,0
360,-2,0.0,0.0,0.0,0
361,-2,0.0,0.0,0.0,0
362,-2,0.0,0.0,166.0,0
363,-2,0.0,357.141326904,3263.0,0
364,-2,0.0,157.346652985,4935.999999999999,0
365,-2,0.0,292.470152855,6152.0,0
366,-2,0.0,107.502531052,21.0,0
367,-2,0.0,466.524749756,447.0,0
368,-2,0.0,722.427770138,23790.0,0
369,-2,0.0,0.0,0.0,0
370,-2,0.0,45.7434449196,40.0,0
371,-2,0.0,99.3106517792,26.0,0
372,-2,0.0,30.9069018364,9.0,0
373,-2,0.0,100.529507637,0.0,0
374,-2,0.0,80.9967422485,52.00000000000001,0
375,-2,0.0,118.59261179,117.0,0
376,-2,0.0,0.0,122.0,0
377,-2,0.0,0.0,493.9999999999999,0
378,-2,0.0,353.853943348,1494.0,0
379,-2,0.0,672.294681549,4125.0,0
380,-2,0.0,355.021996498,1575.0,0
381,-2,0.0,351.56434536,1971.0,0
382,-2,0.0,1045.84475327,23548.0,0
383,-2,0.0,1041.58005905,19715.0,0
384,-2,0.0,799.474942207,10735.0,0
385,-2,0.0,1080.72818089,38276.0,0
386,-2,0.0,1181.94531822,51817.00000000001,0
387,-2,0.0,713.743982315,16164.0,0
388,-2,0.0,239.159317017,581.0,0
389,-2,0.0,992.614695549,42179.0,0
390,-2,0.0,981.316657066,19443.0,0
391,-2,0.0,1230.40741444,59260.00000000001,0
392,-2,0.0,899.22219944,60720.99999999999,0
393,-2,0.0,455.70345211,52503.00000000001,0
394,-2,0.0,39.3300409317,866.9999999999998,0
395,-2,0.0,730.202187061,58355.00000000001,0
396,-2,0.0,197.060819626,32380.0,0
397,-2,0.0,0.0,6984.0,0
398,-2,0.0,15.7845315933,13116.0,0
399,-2,0.0,97.366856575,8084.999999999998,0
400,-2,0.0,37.6981039047,3869.999999999999,0
401,-2,0.0,0.0,14.0,0
402,-2,0.0,85.2285342216,8200.0,0
403,-2,0.0,178.647488594,2272.0,0
404,-2,0.0,74.6218137741,7288.000000000001,0
405,-2,0.0,238.403574944,17006.0,0
406,-2,0.0,73.116309166,97.0,0
407,-2,0.0,0.0,148.0,0
408,-2,0.0,0.0,0.0,0
409,-2,0.0,0.0,14488.0,0
410,-2,0.0,0.0,3981.0,0
411,-2,0.0,0.0,0.0,0
412,412,0.0,0.0,8.000000000000002,11
413,413,0.0,0.0,0.0,11
414,414,0.0,0.0,5821.000000000001,11
415,415,0.0,0.0,2261.0,11
416,416,0.0,0.0,0.0,11
417,-2,0.0,0.0,45.0,0
418,-2,0.0,0.0,0.0,0
419,-2,0.0,122.279766083,1526.0,0
420,-2,0.0,0.0,0.0,0
421,-2,0.0,0.0,235.0,0
422,-2,0.0,0.0,610.0,0
423,-2,0.0,0.0,83.0,0
424,-2,0.0,0.0,81.0,0
425,-2,0.0,0.0,0.0,0
426,-2,0.0,0.0,8132.999999999998,0
427,-2,0.0,0.0,0.0,0
428,-2,0.0,0.0,33.0,0
429,-2,0.0,0.0,192.0,0
430,-2,0.0,35.186021328,13093.0,0
431,-2,0.0,0.0,0.0,0
432,-2,0.0,0.0,0.0,0
433,-2,0.0,0.0,0.0,0
434,434,0.0,0.0,0.0,11
435,435,0.0,0.0,0.0,11
436,436,0.0,0.0,0.0,11
437,-2,0.0,0.0,0.0,0
438,-2,0.0,0.0,0.0,0
439,-2,0.0,0.0,0.0,0
440,-2,0.0,0.0,0.0,0
441,-2,0.0,0.0,0.0,0
442,-2,0.0,0.0,0.0,0
443,-2,0.0,377.645859718,562.0,0
444,-2,0.0,176.527851582,7032.0,0
445,-2,0.0,30.5462756157,400.0,0
446,-2,0.0,186.548503876,1051.0,0
447,-2,0.0,34.0186343193,1582.0,0
448,-2,0.0,66.562567234,0.0,0
449,-2,0.0,18.528023243,0.0,0
450,-2,0.0,78.8526620865,1070.0,0
451,-2,0.0,6.08746671677,28.99999999999999,0
452,-2,0.0,365.691682816,28758.00000000001,0
453,-2,0.0,0.0,1461.0,0
454,-2,0.0,31.2851142883,0.0,0
455,-2,0.0,86.8627963066,2081.0,0
456,-2,0.0,95.8847708702,2301.0,0
457,-2,0.0,131.121448517,4206.0,0
458,-2,0.0,0.0,1049.0,0
459,-2,0.0,77.2363481522,622.0,0
460,-2,0.0,192.053055763,1740.0,0
461,-2,0.0,0.0,0.0,0
462,-2,0.0,24.5301909447,12.0,0
463,-2,0.0,22.4547686577,0.0,0
464,-2,0.0,7.19707393646,166.0,0
465,-2,0.0,0.0,694.0000000000003,0
466,-2,0.0,70.5856738091,507.0,0
467,-2,0.0,66.3405785561,143.0,0
468,-2,0.0,104.948832989,13556.0,0
469,-2,0.0,54.4705119133,4997.0,0
470,-2,0.0,0.0,0.0,0
471,-2,0.0,39.8257966042,6709.0,0
472,-2,0.0,0.0,1232.0,0
473,-2,0.0,0.0,0.0,0
474,-2,0.0,0.0,138.0,0
475,-2,0.0,0.0,387.9999999999999,0
476,-2,0.0,0.0,625.0,0
477,-2,0.0,0.0,0.0,0
478,-2,0.0,0.0,0.0,0
479,-2,0.0,28.0257015228,132.0,0
480,-2,0.0,512.579645157,10425.0,0
481,-2,0.0,646.019177914,21573.0,0
482,-2,0.0,716.237848282,26160.0,0
483,-2,0.0,86.4298505783,0.0,0
484,-2,0.0,0.0,0.0,0
485,-2,0.0,0.0,0.0,0
486,-2,0.0,99.5247626305,0.0,0
487,-2,0.0,82.8191795349,0.0,0
488,-2,0.0,153.051066875,0.0,0
489,-2,0.0,328.320898056,1929.0,0
490,-2,0.0,449.362812996,22136.0,0
491,-2,0.0,143.632301331,1581.0,0
492,-2,0.0,0.0,0.0,0
493,-2,0.0,0.0,0.0,0
494,-2,0.0,0.0,0.0,0
495,-2,0.0,8.64479541779,81.00000000000001,0
496,-2,0.0,277.32332468,2777.0,0
497,-2,0.0,193.855282784,15332.0,0
498,-2,0.0,0.0,0.0,0
499,-2,0.0,6.43112754822,655.0,0
500,-2,0.0,32.182507515,0.0,0
501,-2,0.0,79.4608078003,0.0,0
502,-2,0.0,27.1230201721,0.0,0
503,-2,0.0,116.730084896,130.0,0
504,-2,0.0,25.4332175255,0.0,0
505,-2,0.0,513.700148106,9172.0,0
506,-2,0.0,479.365871429,19201.0,0
507,-2,0.0,0.0,8.0,0
508,-2,0.0,0.0,30.0,0
509,-2,0.0,0.0,0.0,0
510,-2,0.0,359.306018829,0.0,0
511,-2,0.0,343.394742966,7206.0,0
512,-2,0.0,26.7676992416,0.0,0
513,-2,0.0,43.672191143,0.0,0
514,-2,0.0,0.0,686.0,0
515,-2,0.0,63.4352793694,658.0,0
516,-2,0.0,8.16756820679,14.0,0
517,-2,0.0,24.6126213074,0.0,0
518,-2,0.0,327.779899597,0.0,0
519,-2,0.0,706.986536026,6849.999999999999,0
520,-2,0.0,814.545396805,6004.0,0
521,-2,0.0,1331.93241882,7580.999999999999,0
522,-2,0.0,1709.25110722,20424.0,0
523,-2,0.0,1464.63602638,18719.0,0
524,-2,0.0,354.968261242,6864.0,0
525,-2,0.0,293.715872765,8288.0,0
526,-2,0.0,389.951576233,7170.999999999999,0
527,-2,0.0,574.759634018,31998.0,0
528,-2,0.0,353.059808731,1067.0,0
529,-2,0.0,412.534318924,24289.0,0
530,-2,0.0,0.0,187.0,0
531,-2,0.0,286.247356892,7772.0,0
532,-2,0.0,650.862574577,50732.0,0
533,-2,0.0,183.426323414,16152.0,0
534,-2,0.0,0.0,0.0,0
535,-2,0.0,0.0,0.0,0
536,-2,0.0,287.432656288,6467.000000000001,0
537,-2,0.0,90.1087875366,217.0,0
538,-2,0.0,180.464515209,1147.0,0
539,-2,0.0,72.9859695435,0.0,0
540,-2,0.0,112.870127201,1739.0,0
541,-2,0.0,411.198685646,13299.0,0
542,-2,0.0,295.884786606,12759.0,0
543,-2,0.0,333.547089577,11714.0,0
544,-2,0.0,180.113860607,748.0,0
545,-2,0.0,165.013520718,1544.0,0
546,-2,0.0,138.084732056,133.0,0
547,-2,0.0,362.265782833,10038.0,0
548,-2,0.0,948.508113384,163.0,0
549,-2,0.0,1298.41800022,7113.0,0
550,-2,0.0,1153.16696072,44701.99999999999,0
551,-2,0.0,1322.25808334,11966.0,0
552,-2,0.0,801.622583389,6462.999999999998,0
553,-2,0.0,713.928836346,626.9999999999999,0
554,-2,0.0,353.130999088,421.0,0
555,-2,0.0,703.302237988,36996.0,0
556,-2,0.0,145.656459332,4573.0,0
557,-2,0.0,0.0,1284.0,0
558,-2,0.0,6.42454862595,2756.0,0
559,-2,0.0,33.8739547729,0.0,0
560,-2,0.0,112.105692863,5851.999999999999,0
561,-2,0.0,5.48774909973,0.0,0
562,-2,0.0,0.0,0.0,0
563,-2,0.0,165.064526558,3.0,0
564,-2,0.0,94.7699809074,0.0,0
565,-2,0.0,438.046056747,11131.0,0
566,-2,0.0,498.052420616,8170.999999999999,0
567,-2,0.0,0.0,0.0,0
568,-2,0.0,5.40601205826,113.0,0
569,-2,0.0,21.0696172714,241.0000000000001,0
570,-2,0.0,53.7595844269,0.0,0
571,-2,0.0,101.220785141,1029.0,0
572,-2,0.0,0.0,575.0000000000001,0
573,-2,0.0,0.0,0.0,0
574,-2,0.0,0.0,0.0,0
575,-2,0.0,0.0,12.0,0
576,-2,0.0,0.0,0.0,0
577,-2,0.0,0.0,0.0,0
578,-2,0.0,0.0,0.0,0
579,-2,0.0,0.0,0.0,0
580,-2,0.0,0.0,0.0,0
581,-2,0.0,0.0,0.0,0
582,-2,0.0,0.0,0.0,0
583,-2,0.0,239.91631794,886.9999999999999,0
584,-2,0.0,87.2036542892,0.0,0
585,-2,0.0,0.0,0.0,0
586,-2,0.0,240.97210598,491.0,0
587,-2,0.0,233.409160614,30.0,0
588,-2,0.0,53.5721025467,0.0,0
589,-2,0.0,0.0,0.0,0
590,-2,0.0,0.0,0.0,0
591,-2,0.0,217.857162952,0.0,0
592,-2,0.0,392.807096481,4687.0,0
593,-2,0.0,521.627681732,19598.0,0
594,-2,0.0,527.438378811,5452.0,0
595,-2,0.0,503.875080585,15934.0,0
596,-2,0.0,0.0,0.0,0
597,-2,0.0,0.0,23.0,0
598,-2,0.0,10.3815383911,0.0,0
599,-2,0.0,265.111092567,1266.0,0
600,-2,0.0,665.221688271,13686.0,0
601,-2,0.0,416.793622017,322.0000000000001,0
602,-2,0.0,788.994035721,1982.0,0
603,-2,0.0,242.243146896,729.0,0
604,-2,0.0,371.581532955,10462.0,0
605,-2,0.0,754.715388775,8907.0,0
606,-2,0.0,418.314731598,5225.999999999999,0
607,-2,0.0,812.561444283,7121.999999999999,0
608,-2,0.0,1093.09801579,52819.00000000001,0
609,-2,0.0,264.760742664,3298.0,0
610,-2,0.0,31.2290973663,1600.0,0
611,-2,0.0,569.853682041,20317.0,0
612,-2,0.0,369.247410297,12559.0,0
613,-2,0.0,108.008605003,13933.0,0
614,-2,0.0,0.0,2.0,0
615,-2,0.0,0.0,5640.0,0
616,-2,0.0,0.0,6150.0,0
617,-2,0.0,0.0,229.0,0
618,-2,0.0,15.7158308029,37.0,0
619,-2,0.0,310.104897022,31531.0,0
620,-2,0.0,116.037466049,2010.0,0
621,-2,0.0,39.745153904,0.0,0
622,-2,0.0,0.0,17.0,0
623,-2,0.0,106.22827816,3125.0,0
624,-2,0.0,137.986385822,12207.0,0
625,-2,0.0,24.7268900871,0.0,0
626,-2,0.0,0.0,14.0,0
627,-2,0.0,151.536500931,10812.0,0
628,-2,0.0,0.0,0.0,0
629,-2,0.0,0.0,5173.0,0
630,-2,0.0,0.0,0.0,0
631,-2,0.0,0.0,0.0,0
632,632,0.0,0.0,0.0,11
633,633,0.0,0.0,0.0,11
634,634,0.0,0.0,3197.0,11
635,635,0.0,0.0,0.0,11
636,636,0.0,0.0,0.0,11
637,637,0.0,0.0,0.0,11
638,638,0.0,83.0872011185,489.0,11
639,639,0.0,320.736979485,9032.0,11
640,640,0.0,11.7189369202,20.0,11
641,641,0.0,0.0,0.0,11
642,642,0.0,20.2058229446,0.0,11
643,643,0.0,60.5326447487,0.0,11
644,644,0.0,5.93665218353,0.0,11
645,645,0.0,15.8181629181,0.0,11
646,646,0.0,66.8362736702,12.0,11
647,647,0.0,5.89223766327,0.0,11
648,-2,0.0,0.0,5783.999999999999,0
