Tid,Supply-demand relationship
3529,surplus
3530,balance
3531,balance
3532,balance
3533,balance
3534,balance
3535,balance
3536,balance
3638,deficit
3639,deficit
3640,deficit
3641,balance
3642,balance
3643,balance
3644,balance
3645,surplus
3646,balance
3647,surplus
3648,surplus
3649,balance
3650,balance
3651,balance
3652,balance
3653,balance
3654,balance
3655,balance
3656,balance
3657,balance
3658,balance
3659,balance
3660,balance
3661,balance
3662,balance
3663,balance
3664,balance
3665,balance
3666,balance
3667,balance
3668,balance
3669,balance
3670,balance
3671,balance
3672,balance
3673,balance
3776,deficit
3777,deficit
3778,deficit
3779,surplus
3780,surplus
3781,balance
3782,balance
3783,balance
3784,balance
3785,balance
3786,balance
3787,balance
3788,balance
3789,balance
3790,balance
3791,balance
3792,balance
3793,balance
3794,balance
3795,balance
3796,balance
3797,balance
3798,balance
3799,balance
3800,balance
3801,balance
3802,balance
3803,balance
3804,balance
3805,surplus
3806,balance
3807,balance
3808,balance
3809,balance
3810,balance
3913,balance
3914,deficit
3915,deficit
3916,surplus
3917,surplus
3918,surplus
3919,balance
3920,balance
3921,balance
3922,balance
3923,balance
3924,surplus
3925,surplus
3926,balance
3927,balance
3928,balance
3929,balance
3930,balance
3931,balance
3932,balance
3933,balance
3934,balance
3935,balance
3936,balance
3937,surplus
3938,balance
3939,balance
3940,balance
3941,balance
3942,balance
3943,balance
3944,balance
3945,balance
3946,balance
3947,balance
4051,balance
4052,balance
4053,balance
4054,balance
4055,surplus
4056,surplus
4057,surplus
4058,surplus
4059,balance
4060,balance
4061,balance
4062,balance
4063,balance
4064,balance
4065,balance
4066,balance
4067,balance
4068,balance
4069,surplus
4070,balance
4071,balance
4072,balance
4073,balance
4074,balance
4075,surplus
4076,balance
4077,balance
4078,balance
4079,balance
4080,balance
4081,balance
4082,balance
4083,balance
4084,balance
4085,balance
4193,balance
4194,balance
4195,surplus
4196,surplus
4197,surplus
4198,balance
4199,balance
4200,balance
4201,balance
4202,balance
4203,balance
4204,balance
4205,balance
4206,balance
4207,balance
4208,balance
4209,surplus
4210,balance
4211,surplus
4212,balance
4213,balance
4214,balance
4215,balance
4216,balance
4217,balance
4218,balance
4219,balance
4220,balance
4221,balance
4222,balance
4331,balance
4332,balance
4333,balance
4334,surplus
4335,surplus
4336,balance
4337,balance
4338,balance
4339,surplus
4340,balance
4341,balance
4342,surplus
4343,balance
4344,surplus
4345,surplus
4346,balance
4347,balance
4348,balance
4349,balance
4350,balance
4351,balance
4352,balance
4353,balance
4354,balance
4355,balance
4356,balance
4357,balance
4358,balance
4359,balance
4461,balance
4462,balance
4463,balance
4464,balance
4465,balance
4466,balance
4467,balance
4468,balance
4469,surplus
4470,balance
4471,surplus
4472,balance
4473,balance
4474,balance
4475,balance
4476,balance
4477,balance
4478,balance
4479,balance
4480,balance
4481,balance
4482,balance
4483,surplus
4484,surplus
4485,balance
4486,balance
4487,balance
4488,balance
4489,balance
4490,balance
4491,balance
4492,balance
4493,balance
4494,balance
4495,balance
4496,balance
4598,balance
4599,balance
4600,balance
4601,balance
4602,balance
4603,balance
4604,balance
4605,balance
4606,balance
4607,balance
4608,surplus
4609,balance
4610,balance
4611,balance
4612,surplus
4613,balance
4614,balance
4615,balance
4616,balance
4617,balance
4618,balance
4619,balance
4620,surplus
4621,surplus
4622,surplus
4623,surplus
4624,balance
4625,balance
4626,balance
4627,balance
4628,balance
4629,balance
4630,balance
4631,balance
4632,balance
4633,balance
4736,balance
4737,balance
4738,surplus
4739,surplus
4740,balance
4741,balance
4742,balance
4743,balance
4744,surplus
4745,balance
4746,balance
4747,balance
4748,balance
