Tid,Supply-demand relationship
2116,surplus
2117,deficit
2118,surplus
2119,deficit
2120,deficit
2121,deficit
2122,deficit
2123,deficit
2124,surplus
2125,deficit
2126,deficit
2127,deficit
2128,surplus
2129,surplus
2130,surplus
2131,deficit
2159,balance
2160,balance
2161,balance
2162,balance
2163,balance
2164,balance
2165,balance
2166,surplus
2167,surplus
2168,surplus
2169,balance
2170,balance
2171,balance
2190,deficit
2191,deficit
2192,deficit
2193,balance
2194,deficit
2195,balance
2196,balance
2197,balance
2198,surplus
2199,deficit
2200,balance
2201,deficit
2202,deficit
2203,surplus
2204,surplus
2205,deficit
2206,surplus
2207,surplus
2208,deficit
2209,deficit
2210,deficit
2211,balance
2212,deficit
2213,balance
2214,surplus
2215,balance
2216,surplus
2217,surplus
2218,deficit
2219,surplus
2220,deficit
2221,deficit
2222,balance
2223,balance
2224,balance
2225,balance
2226,balance
2227,surplus
2228,deficit
2229,deficit
2230,surplus
2231,surplus
2232,balance
2233,deficit
2234,deficit
2235,deficit
2236,deficit
2237,balance
2238,deficit
2239,surplus
2240,deficit
2241,deficit
2242,deficit
2244,balance
2245,balance
2267,balance
2268,balance
2269,balance
2270,balance
2271,surplus
2272,balance
2273,balance
2275,balance
2276,balance
2277,balance
2278,balance
2279,balance
2298,deficit
2299,deficit
2300,balance
2301,balance
2302,balance
2303,deficit
2304,balance
2305,surplus
2306,surplus
2307,surplus
2308,surplus
2309,surplus
2310,surplus
2311,deficit
2312,surplus
2313,deficit
2314,surplus
2315,deficit
2316,deficit
2317,deficit
2318,deficit
2319,deficit
2320,deficit
2321,deficit
2322,balance
2323,balance
2324,balance
2325,balance
2326,surplus
2327,surplus
2328,deficit
2329,deficit
2330,deficit
2331,balance
2332,balance
2333,balance
2334,surplus
2335,deficit
2336,deficit
2337,deficit
2338,deficit
2339,deficit
2340,deficit
2341,deficit
2342,deficit
2343,deficit
2344,deficit
2345,deficit
2346,deficit
2347,deficit
2348,deficit
2349,deficit
2350,deficit
2351,deficit
2352,deficit
2353,deficit
2354,deficit
2355,deficit
2356,balance
2374,balance
2375,balance
2376,balance
2377,balance
2378,balance
2379,balance
2380,balance
2381,surplus
2382,balance
2385,balance
2386,balance
2387,balance
2407,deficit
2408,balance
2409,balance
2410,balance
2411,deficit
