Tid,Supply-demand relationship
3303,balance
3304,balance
3362,balance
3363,balance
3364,balance
3365,balance
3374,balance
3375,balance
3392,balance
3393,balance
3394,balance
3395,surplus
3396,balance
3397,balance
3398,balance
3399,balance
3400,balance
3401,balance
3402,balance
3403,balance
3404,balance
3405,balance
3406,balance
3407,balance
3408,balance
3409,surplus
3410,surplus
3411,balance
3412,balance
3413,balance
3414,surplus
3415,balance
3416,balance
3417,balance
3418,balance
3419,balance
3420,balance
3421,balance
3422,balance
3423,balance
3424,balance
3425,balance
3426,balance
3427,balance
3428,balance
3508,balance
3509,balance
3510,balance
3511,balance
3512,balance
3513,balance
3514,balance
3515,balance
3516,balance
3517,balance
3518,balance
3519,balance
3520,balance
3521,balance
3522,balance
3523,balance
3524,balance
3525,balance
3526,balance
3527,balance
3528,balance
3529,balance
3530,balance
3531,balance
3532,balance
3533,balance
3534,balance
3535,balance
3536,balance
3537,balance
3538,balance
3539,balance
3540,balance
3541,balance
3542,balance
3543,balance
3544,balance
3597,balance
3598,balance
3599,balance
3600,balance
3601,balance
3602,balance
3603,balance
3604,balance
3605,balance
3612,balance
3613,balance
3614,balance
3615,balance
3632,surplus
3633,balance
3634,balance
3635,balance
3636,balance
3637,balance
3638,balance
3639,balance
3640,balance
3641,balance
3642,balance
3643,balance
3644,balance
3645,balance
3646,balance
3647,balance
3648,balance
3649,surplus
3650,balance
3651,balance
3652,balance
3653,balance
3654,balance
3655,balance
3656,balance
3657,balance
3658,balance
3659,balance
3660,balance
3661,balance
3662,balance
3663,balance
3664,balance
3665,balance
3666,balance
3667,balance
3746,balance
3747,balance
3748,balance
3749,balance
3750,balance
3751,balance
3752,balance
3753,balance
3754,balance
3755,balance
3756,balance
3757,balance
3758,balance
3759,balance
3760,balance
3761,balance
3762,balance
3763,balance
3764,balance
3765,balance
3766,balance
3767,balance
3768,balance
3769,balance
3770,balance
3771,balance
3772,balance
3773,balance
3774,balance
3775,balance
3776,balance
3777,balance
3778,balance
3779,balance
3780,balance
3781,balance
3782,balance
3783,balance
3784,balance
3834,balance
3835,balance
3836,balance
3837,balance
3838,balance
3839,balance
3840,balance
3841,balance
3842,balance
3843,balance
3844,balance
3845,balance
3851,balance
3852,balance
3853,balance
3854,balance
3871,balance
3872,balance
3873,balance
3874,balance
3875,balance
3876,balance
3877,balance
3878,surplus
3879,balance
3880,balance
3881,balance
3882,balance
3883,balance
3884,balance
3885,balance
3886,balance
3887,balance
3888,balance
3889,balance
3890,balance
3891,balance
3892,balance
3893,balance
3894,balance
3895,balance
3896,balance
3897,balance
3898,balance
3899,balance
3900,balance
3901,balance
3902,balance
3903,surplus
3904,balance
3905,balance
3906,balance
3983,balance
3984,balance
3985,balance
3986,balance
3987,balance
3988,balance
3989,balance
3990,balance
3991,balance
3992,balance
3993,balance
3994,balance
3995,balance
3996,balance
3997,balance
3998,balance
3999,balance
4000,balance
4001,balance
4002,balance
4003,balance
4004,balance
4005,balance
4006,balance
4007,balance
4008,balance
4009,balance
4010,balance
4011,balance
4012,balance
4013,balance
4014,balance
4015,balance
4016,balance
4017,balance
4018,balance
4019,balance
4020,balance
4021,balance
4022,balance
4023,balance
4024,balance
4073,balance
4074,balance
4075,balance
4076,balance
4077,balance
4078,balance
4079,balance
4080,balance
4081,balance
4082,balance
4083,balance
4084,balance
4085,balance
4090,balance
4091,balance
4092,balance
4093,balance
4103,balance
4104,balance
4108,balance
4109,balance
4110,balance
4111,balance
4112,balance
4113,balance
4114,balance
4115,balance
4116,balance
4117,balance
4118,surplus
4119,balance
4120,balance
4121,balance
4122,balance
4123,balance
4124,balance
4125,balance
4126,balance
4127,balance
4128,balance
4129,balance
4130,balance
4131,balance
4132,balance
4133,surplus
4134,balance
4135,balance
4136,balance
4137,balance
4138,balance
4139,balance
4140,balance
4141,balance
4142,balance
4143,balance
4144,balance
4145,balance
4202,balance
4203,balance
4204,balance
4205,balance
4222,balance
4223,balance
4224,balance
4225,balance
4226,balance
4227,balance
4228,balance
4229,balance
4230,balance
